age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
86,Private,579583,10th,6,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,54,United-States,>50K
27,Private,1493605,Prof-school,14,Never-married,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
32,Local-gov,531192,Doctorate,16,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,44,United-States,<=50K
89,Private,418495,11th,7,Never-married,Craft-repair,Other-relative,White,Male,0,0,19,United-States,<=50K
75,Private,501349,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Female,0,0,48,United-States,>50K
86,State-gov,1297240,Bachelors,13,Never-married,Craft-repair,Wife,White,Male,0,2380,56,United-States,>50K
19,Private,1357348,12th,8,Never-married,Tech-support,Unmarried,White,Female,0,3265,47,United-States,<=50K
36,Private,685262,9th,5,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Male,75642,0,39,United-States,>50K
75,Private,779333,Assoc-acdm,12,Divorced,Farming-fishing,Not-in-family,Black,Male,0,0,28,United-States,>50K
52,Local-gov,438691,Assoc-acdm,12,Married-civ-spouse,Sales,Own-child,White,Male,0,0,28,United-States,>50K
35,Private,30034,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,>50K
83,Private,205631,HS-grad,9,Separated,Prof-specialty,Own-child,White,Male,0,0,45,Other,>50K
35,Private,784852,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,15,United-States,<=50K
36,Private,293342,Some-college,10,Divorced,Protective-serv,Wife,Black,Female,0,0,24,United-States,>50K
87,Private,304191,Doctorate,16,Divorced,Tech-support,Wife,White,Female,0,0,51,United-States,>50K
68,Private,474930,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,21433,0,60,United-States,>50K
49,Local-gov,123874,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,37,United-States,>50K
56,Private,1270272,5th-6th,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,47,United-States,<=50K
55,Private,1351883,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,38,United-States,>50K
17,Private,1000925,12th,8,Divorced,Prof-specialty,Husband,White,Male,0,0,41,United-States,>50K
27,Private,965559,5th-6th,3,Married-civ-spouse,Transport-moving,Unmarried,White,Male,0,0,26,United-States,>50K
73,Private,1095095,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,46,United-States,<=50K
66,Self-emp-inc,434285,12th,8,Never-married,Adm-clerical,Wife,White,Male,0,0,31,United-States,<=50K
39,Private,1108345,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,58761,0,42,United-States,>50K
47,Private,1118187,9th,5,Never-married,Tech-support,Husband,White,Male,0,0,49,United-States,>50K
58,Self-emp-not-inc,799252,Bachelors,13,Never-married,Sales,Husband,White,Male,0,0,47,United-States,>50K
23,Self-emp-inc,134683,Prof-school,14,Divorced,Farming-fishing,Unmarried,White,Male,0,0,30,United-States,>50K
32,Private,406557,Masters,14,Married-spouse-absent,Machine-op-inspct,Own-child,White,Male,0,0,43,United-States,>50K
76,Private,589533,5th-6th,3,Divorced,Protective-serv,Other-relative,White,Male,0,0,33,United-States,>50K
18,Private,29772,5th-6th,3,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,48,United-States,<=50K
17,Private,609322,10th,6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
64,Private,1353949,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Male,0,0,49,United-States,>50K
28,Private,948397,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,57,United-States,<=50K
85,Private,838972,5th-6th,3,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,46,United-States,>50K
53,Private,1325383,10th,6,Never-married,Craft-repair,Own-child,White,Female,0,0,58,United-States,<=50K
48,Private,985724,9th,5,Never-married,Sales,Husband,White,Male,0,0,49,United-States,>50K
25,Private,1455263,Masters,14,Married-civ-spouse,Adm-clerical,Wife,White,Male,35600,0,31,United-States,>50K
35,Private,1329484,10th,6,Never-married,Transport-moving,Wife,White,Male,0,0,43,United-States,<=50K
64,Private,1136343,5th-6th,3,Married-civ-spouse,Transport-moving,Unmarried,White,Male,0,0,53,United-States,>50K
19,Private,1317487,9th,5,Never-married,Protective-serv,Wife,White,Male,0,0,54,United-States,<=50K
36,Private,227101,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Male,0,0,35,United-States,>50K
40,Private,259359,11th,7,Widowed,Farming-fishing,Unmarried,White,Male,0,0,35,United-States,>50K
70,Self-emp-not-inc,1258805,5th-6th,3,Never-married,Sales,Own-child,White,Female,0,1129,48,United-States,<=50K
49,Federal-gov,1402687,Masters,14,Never-married,Transport-moving,Own-child,White,Male,0,0,31,United-States,>50K
40,State-gov,1439561,Masters,14,Never-married,Protective-serv,Own-child,White,Male,0,0,38,Other,<=50K
88,Private,1237144,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,42,United-States,>50K
52,Private,33039,HS-grad,9,Never-married,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,0,0,39,United-States,<=50K
54,Federal-gov,162201,Assoc-acdm,12,Never-married,Transport-moving,Own-child,White,Male,0,0,50,Other,>50K
41,Private,230603,9th,5,Never-married,Transport-moving,Husband,White,Male,0,0,49,United-States,>50K
34,Private,632855,9th,5,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,42,Other,<=50K
82,Private,120155,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,27,United-States,>50K
70,Private,240643,5th-6th,3,Widowed,Transport-moving,Husband,White,Male,0,0,57,United-States,<=50K
51,Private,1267583,Doctorate,16,Married-civ-spouse,Farming-fishing,Not-in-family,Black,Male,0,0,31,United-States,>50K
77,Self-emp-not-inc,1109377,Some-college,10,Married-civ-spouse,Protective-serv,Own-child,White,Female,0,0,34,United-States,<=50K
57,Private,1324935,Some-college,10,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,30,United-States,<=50K
49,Local-gov,883573,11th,7,Divorced,Tech-support,Not-in-family,White,Male,0,0,22,Other,>50K
84,Private,575566,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,52,Other,>50K
49,Private,1046728,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,62,United-States,>50K
30,Private,424894,Prof-school,14,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,58382,0,25,United-States,>50K
